1.  Picture jobs & formats
53 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
character sheet | character sheet / model sheet | character_sheet, model_sheet | orthographic usefulness, grey or white
turnaround front | turnaround front side back | turnaround_front_side_back | costume engineering
expression sheet | expression sheet, same head, many moods | expression_sheet | same head, many moods
pose sheet | pose sheet, same character, many verbs | pose_sheet | same character, many verbs
detail callout | detail callout sheet | detail_callout_sheet | clasp, sole, ear, logo-free
splash art | splash art / key visual | splash_art, key_visual | poster polish, title space
icon | icon / app icon | icon, app_icon | readable silhouette at thumbnail
avatar bust | avatar bust, head and shoulders, clean | avatar_bust | head and shoulders, clean
wallpaper desktop | wallpaper desktop, subject off-center for icons | wallpaper_desktop | subject off-center for icons
phone wallpaper | phone wallpaper, tall, face high or low | phone_wallpaper | tall, face high or low
thumbnail | thumbnail, face large, high contrast | thumbnail | face large, high contrast
album cover | album cover square | album_cover_square | graphic lockup, edge-aware
book jacket | book jacket, spine and type space | book_jacket | spine and type space
tarot card | tarot card, bordered emblem composition | tarot_card | bordered emblem composition
trading card | trading card bust | trading_card_bust | ornate frame energy
poster one-sheet | poster one-sheet, theatrical hierarchy | poster_one-sheet | theatrical hierarchy
playbill | playbill, stage-graphic | playbill | stage-graphic
magazine cover | magazine cover, masthead space, direct gaze | magazine_cover | masthead space, direct gaze
editorial double-page | editorial double-page, gutter awareness | editorial_double-page | gutter awareness
lookbook row | lookbook row, garment readable | lookbook_row | garment readable
packshot | packshot, object true, seamless | packshot | object true, seamless
lifestyle product | lifestyle product still | lifestyle_product_still | object in a life
storyboard panel | storyboard panel, messy, directional | storyboard_panel | messy, directional
comic panel | comic panel / page | comic_panel, page | gutter, balloon space
webtoon vertical | webtoon vertical slice | webtoon_vertical_slice | tall read
cinematic still | cinematic still 2.39:1 | cinematic_still_2391 | letterbox energy
polaroid frame | polaroid frame, instant-film object | polaroid_frame | instant-film object
contact sheet | contact sheet, many small truths | contact_sheet | many small truths
triptych | triptych, three-beat story | triptych | three-beat story
diptych before/after | diptych before/after, change as subject | diptych_before, after | change as subject
infographic still | infographic still, diagram energy, not a poster dump | infographic_still | diagram energy, not a poster dump
UI mock | UI mock screenshot | ui_mock_screenshot | screen as object
map | map as picture | map_as_picture | place as graphic
blueprint | blueprint / orthographic tech drawing | blueprint, orthographic_tech_drawing | line, dimension vibe
exploded view | exploded view, parts in air | exploded_view | parts in air
cutaway | cutaway, inside and outside at once | cutaway | inside and outside at once
key visual | campaign key visual, one hero frame for a launch | key_visual, promotional_art | the picture the campaign hangs on
campaign portrait | campaign portrait, face and garment carry the brand | portrait, promotional_art | person as campaign
character select | character-select portrait, full costume, clean read | character_select, official_art | game-menu job
die-cut sticker | die-cut sticker, clean edge, no environment | sticker, white_background | object job
widescreen still | widescreen still, 2.39:1 composition | widescreen, cinematic | cinema frame as job
styleguide tile | styleguide tile, garment or prop on neutral | reference_sheet, simple_background | production bible
gacha splash | a gacha splash, character plus effects, title space | official_art, sparkle | mobile key
loading screen | a loading screen, bar and art | interface, official_art | wait
inventory icon | an inventory icon, item on a tile | icon, item | game UI
16-bit portrait | a 16-bit portrait, palette limited | pixel_art, portrait | SNES cousin
lock-screen still | a phone lock-screen as the picture, time and widgets | cellphone, interface | device
dating-app card | a dating-app card, photo plus name-age bar | interface, portrait | phone
portolan chart | a portolan chart as the job, rhumb lines | map, compass_rose | sea
cadaster map | a cadaster map, parcel lines | map | land
military overlay | a military overlay on a photo or map | map, grid | tactical
sticker sheet | a sticker sheet, kiss-cut, many small | sticker, sheet | die-cut cousin
box art 3/4 | box art, three-quarter product plus figure | cover, product | shelf
--- END TABLE ---
2.  Photography genres
36 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
headshot | headshot, industry face, eyes sharp | headshot | industry face, eyes sharp
environmental portrait | environmental portrait, person + habitat | environmental_portrait | person + habitat
street photography | street photography, public decisive moment | street_photography | public decisive moment
fashion editorial | fashion editorial, clothes + concept friction | fashion_editorial | clothes + concept friction
beauty photography | beauty photography, skin as landscape | beauty_photography | skin as landscape
boudoir | boudoir, adult styled intimacy, implied | boudoir | adult styled intimacy, implied
fine-art nude | fine-art nude, adult body as form | fine-art_nude | adult body as form
glamour | glamour, hollywood-descended shine | glamour | Hollywood-descended shine
pin-up | pin-up, calendar pose grammar | pin-up | calendar pose grammar
product packshot | product packshot, true edge, seamless | product_packshot | true edge, seamless
food photography | food photography, steam window, gloss | food_photography | steam window, gloss
still life | still life, arranged meaning | still_life | arranged meaning
architecture photography | architecture photography, verticals as choice | architecture_photography | verticals as choice
interior dusk | interior dusk lamps-on | interior_dusk_lamps-on | mixed temp rooms
landscape | landscape, weather as actor | landscape | weather as actor
seascape | seascape, shutter: freeze or silk | seascape | shutter: freeze or silk
wildlife | wildlife, catchlight in animal eye | wildlife | catchlight in animal eye
bird-in-flight | bird-in-flight, wing geometry freeze | bird-in-flight | wing geometry freeze
macro | macro, paper-thin focus, scale shock | macro | paper-thin focus, scale shock
sports peak | sports peak action | sports_peak_action | long glass, sweat freeze
dance still | dance still, limb line | dance_still | limb line
concert | concert, bad light made romantic | concert | bad light made romantic
wedding reportage | wedding reportage, available chaos | wedding_reportage | available chaos
automotive | automotive, reflection as enemy | automotive | reflection as enemy
aviation | aviation, heat haze, scale | aviation | heat haze, scale
maritime work | maritime work deck | maritime_work_deck | salt on glass
underwater | underwater, cyan, backscatter, shafts | underwater | cyan, backscatter, shafts
astro | astro / nightscape | astro, nightscape | star vs land hybrid
long exposure | long exposure, silk water, ghost crowd | long_exposure | silk water, ghost crowd
light painting | light painting, drawn photons | light_painting | drawn photons
aerial | aerial / drone | aerial, drone | map or oblique hero
surveillance-cam | surveillance-cam, ugly angle, timestamp energy | surveillance-cam | ugly angle, timestamp energy
paparazzi tele | paparazzi tele, hunted compression | paparazzi_tele | hunted compression
ID | ID / passport light | id, passport_light | institutional dead
family-album flash | family-album flash, honest ugly room | family-album_flash | honest ugly room
camera-phone candid | camera-phone candid, slight wide, arm’s length | camera-phone_candid | slight wide, arm’s length
--- END TABLE ---
3.  Realism & finish
22 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
photorealistic | photorealistic, camera-believable | photorealistic | camera-believable; add texture or it goes plastic
hyperrealistic | hyperrealistic, forensic pores and fibers | hyperrealistic | forensic pores and fibers
lifelike | lifelike, presence more than forensic | lifelike | presence more than forensic
documentary photography | documentary photography, unstyled grit | documentary_photography | unstyled grit
photojournalism | photojournalism, event, access, available light | photojournalism | event, access, available light
editorial photography | editorial photography, magazine styled still a photo | editorial_photography | magazine styled still a photo
fine-art photography | fine-art photography, print tonality, intent | fine-art_photography | print tonality, intent
snapshot | snapshot / candid | snapshot, candid | unposed, mid-gesture
raw photo | raw photo, less processed | raw_photo | less processed
shot | shot on film | shot_on_film | highlight roll-off, grain
natural skin | natural skin texture | natural_skin_texture | anti-plastic essential
visible pores | visible pores, use lightly | visible_pores | use lightly
subsurface scattering | subsurface scattering, ears, wax, marble, skin | subsurface_scattering | ears, wax, marble, skin
catchlights | catchlights, life in the eye | catchlights | life in the eye
imperfections | imperfections, flyaways, asymmetry, wrinkles | imperfections | flyaways, asymmetry, wrinkles
street-real | street-real, unposed, mixed light, dirt in the corners | street, candid | not beauty-retouch
beauty-retouch real | beauty-retouch real, skin cleaned but pores kept | realistic, detailed_skin | fashion default
catalog-clean real | catalog-clean real, seamless, even light, product true | product, simple_background | commerce finish
handheld-real | handheld-real, slight shake implied, available light | candid, snapshot | phone or reportage
cinematic-real | cinematic-real, motivated light, film color, still a photograph | cinematic, realistic | movie still as photo
forensic-real | forensic-real, flat record light, no glamour | documentary, realistic | evidence look
lived-in real | lived-in real, wear, mess, nothing reset for camera | realistic, worn | anti-showroom
--- END TABLE ---
4.  Film & digital capture
38 options.
